variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
j1soc10_cc,24.0906,40563,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc10_cc,"First job: SOC 2010, condensed"
j1soc00_cc,24.0858,40555,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc00_cc,"First job: SOC 2000, condensed"
j1soc90_cc,35.3421,59508,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc90_cc,"First job: SOC 1990, condensed"
j1uksoc90_cc,0.5511,928,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc90_cc,"Own first job in UK: SOC 1990, condensed"
j1uksoc00_cc,0.5517,929,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc00_cc,"Own first job in UK: SOC 2000, condensed"
j1uksoc10_cc,0.5529,931,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc10_cc,"Own first job in UK: SOC 2010, condensed"
jlcbsoc90_cc,0.5868,988,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/jlcbsoc90_cc,"Own last job in c.o.b.: SOC 1990, condensed"
jlcbsoc00_cc,0.5868,988,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/jlcbsoc00_cc,"Own last job in c.o.b.: SOC 2000, condensed"
jlcbsoc10_cc,0.588,990,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/jlcbsoc10_cc,"Own last job in c.o.b.: SOC 2010, condensed"
coh1m_dv,23.0328,38782,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/coh1m_dv,First cohabitation start month
coh1y_dv,23.0328,38782,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/coh1y_dv,First cohabitation start year
evercoh_dv,68.4791,115303,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/evercoh_dv,Ever cohabited without marrying?
lmar1m_dv,44.9479,75682,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lmar1m_dv,First marriage start month
lmar1y_dv,44.9479,75682,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lmar1y_dv,First marriage start year
evermar_dv,68.7291,115724,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/evermar_dv,Ever married?
ch1by_dv,46.3567,78054,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/ch1by_dv,First (biological) child birth year
anychild_dv,71.0293,119597,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/anychild_dv,Ever had a (biological) child
