Variables with no matching questionnaire question text in the Wave 18 PDF.
(Derived, admin, grid aggregates, and renamed fields often have no verbatim question.)
Total dictionary variables (Pos. lines): 3973
Matched from PDF: 568
Not found in PDF: 3405

variable	variable_label
n_rsaocr1	RSA/OCR level: RSA certificate (including Stage I,II & III) / OCR Level 1
n_rsaocr2	RSA/OCR level: Diploma / OCR Level 2
n_rsaocr3	RSA/OCR level: Advanced diploma or advanced certificate / OCR Level 3
n_rsaocr4	RSA/OCR level: Higher diploma / OCR Level 4
n_citygld1	Part 1 / Foundation
n_citygld2	Part 2 / Craft / Intermediate
n_citygld3	Part 3 / Advanced Craft / Final
n_citygld4	Part 4 / Career Extension / Full Technological Certificate
n_gnsvq1	Foundation
n_gnsvq2	Intermediate
n_gnsvq3	Advanced
n_nsvq1	NVQ/SVQ level: Level 1
n_nsvq2	NVQ/SVQ level: Level 2
n_nsvq3	NVQ/SVQ level: Level 3
n_nsvq4	NVQ/SVQ level: Level 4
n_nsvq5	NVQ/SVQ level: Level 5
n_nsvq6	NVQ/SVQ level: Other NVQ/SVQ qualification
n_btec1	First certificate or general certificate (below level 2)
n_btec2	First diploma or general diploma (level 2)
n_btec3	National Certificate or National Diploma level (level 3)
n_btec4	Higher level (level 4 or higher)
n_scotvec1	SCOTVEC/SCOTEC/SCOTBEC level: Modules towards a National Certificate
n_scotvec2	SCOTVEC/SCOTEC/SCOTBEC level: First certificate or general certificate (below le
n_scotvec3	SCOTVEC/SCOTEC/SCOTBEC level: First diploma or general diploma (level 2)
n_scotvec4	SCOTVEC/SCOTEC/SCOTBEC level: Full National Certificate(level 3)
n_scotvec5	SCOTVEC/SCOTEC/SCOTBEC level: Higher level (level 4)
n_ncs	National Citizen Service participation
n_pgprob	Country father's father born in
n_pgmrob	Country father's mother born in
n_mgprob	Country mother's father born in
n_mgmrob	Country mother's mother born in
n_lvag16	Living with biological parents at 16
n_agelh	Age stopped living with both biological parents
n_lvag14	Who living with at age 14
n_ynlp14	Why not living with both biological parents
n_natid1	National identity: English
n_natid2	National identity: Welsh
n_natid3	National identity: Scottish
n_natid4	National identity: Northern Irish
n_natid5	National identity: British
n_natid6	National identity: Irish
n_natid97	National identity: Other
n_racelo_code	Specific code for generic ethnic groups
n_racelot_code	Specific code for other ethnic groups
n_racel_dv	Ethnic group incorp. all waves, codings, modes and bhps
n_spaid	Strength of identification with father's ethnicity
n_smaid	Strength of identification with mother's ethnicity
n_englang	English is first language
n_kidlang	Childhood language
